"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ANCExamination","ANCExamination","","","",0,*,"","","","null {[]} {[]}
","ANC Examination","ANC Examination","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ANCExamination.bodyTemperature","ANCExamination.bodyTemperature","","","",0,1,"","","","decimal {[]} {[]}
","ANC - ANC.B8. Body temperature","ANC - ANC.B8. Body temperature","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#L6Toy2TrHHq
",,,,"ANCExamination.bodyTemperature",0,1,"",""
"ANCExamination.diastolicBloodPressure","ANCExamination.diastolicBloodPressure","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B8. Diastolic blood pressure","ANC - ANC.B8. Diastolic blood pressure","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#dyYdfamSY2Z
",,,,"ANCExamination.diastolicBloodPressure",0,1,"",""
"ANCExamination.fetalHeartbeatPresent","ANCExamination.fetalHeartbeatPresent","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Fetal heartbeat present","ANC - ANC.B8. Fetal heartbeat present","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#c6Cg8KgNu77
",,,,"ANCExamination.fetalHeartbeatPresent",0,1,"",""
"ANCExamination.fetalHeartRate","ANCExamination.fetalHeartRate","","","",0,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B8. Fetal heart rate","ANC - ANC.B8. Fetal heart rate","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#cY03odVgQqq
",,,,"ANCExamination.fetalHeartRate",0,1,"",""
"ANCExamination.fetalPresentation","ANCExamination.fetalPresentation","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Fetal presentation","ANC - ANC.B8. Fetal presentation","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8.FetalPresentationVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vPdXnmGWzfy
",,,,"ANCExamination.fetalPresentation",0,1,"",""
"ANCExamination.oedemaLegSwelling","ANCExamination.oedemaLegSwelling","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Oedema Leg swelling","ANC - ANC.B8. Oedema Leg swelling","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#rC2RDuM8wb2
",,,,"ANCExamination.oedemaLegSwelling",0,1,"",""
"ANCExamination.symptomsOfPreEclampsiaPresent","ANCExamination.symptomsOfPreEclampsiaPresent","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Symptoms of severe pre-eclampsia present","ANC - ANC.B8. Symptoms of severe pre-eclampsia present","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YrtUVQtPngs
",,,,"ANCExamination.symptomsOfPreEclampsiaPresent",0,1,"",""
"ANCExamination.numberOfFetuses","ANCExamination.numberOfFetuses","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Number of fetuses","ANC - ANC.B8. Number of fetuses","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8NumberOfFetusesVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#PN6HcGjTraL
",,,,"ANCExamination.numberOfFetuses",0,1,"",""
"ANCExamination.oedemaOfTheHandsAndFeet","ANCExamination.oedemaOfTheHandsAndFeet","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Oedema of the hands and feet","ANC - ANC.B8. Oedema of the hands and feet","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#jETdi1M2DY9
",,,,"ANCExamination.oedemaOfTheHandsAndFeet",0,1,"",""
"ANCExamination.oedemaPresent","ANCExamination.oedemaPresent","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Oedema present","ANC - ANC.B8. Oedema present","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ULV28awvMXH
",,,,"ANCExamination.oedemaPresent",0,1,"",""
"ANCExamination.oedemaSeverity","ANCExamination.oedemaSeverity","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Oedema severity","ANC - ANC.B8. Oedema severity","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8.LABPLUS14VS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#SrpLUqMjW97
",,,,"ANCExamination.oedemaSeverity",0,1,"",""
"ANCExamination.pallorPresent","ANCExamination.pallorPresent","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Pallor present","ANC - ANC.B8. Pallor present","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/YesNoUnknownVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#EyfTU3ibMmJ
",,,,"ANCExamination.pallorPresent",0,1,"",""
"ANCExamination.pelvicExamResultVisual","ANCExamination.pelvicExamResultVisual","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B8. Pelvic exam result (visual)","ANC - ANC.B8. Pelvic exam result (visual)","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B8.PelvicExamResultVisualVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Q3s82wdeOZg
",,,,"ANCExamination.pelvicExamResultVisual",0,1,"",""
"ANCExamination.pittingAnkleOedema","ANCExamination.pittingAnkleOedema","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B8. Pitting ankle oedema","ANC - ANC.B8. Pitting ankle oedema","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#kNrTQqC1bgg
",,,,"ANCExamination.pittingAnkleOedema",0,1,"",""
