"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ANCRMNCAHAntenatalCareRegistryANC","ANCRMNCAHAntenatalCareRegistryANC","","","",0,*,"","","","null {[]} {[]}
","ANC - RMNCAH - Antenatal care registry (ANC)","Mother program","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ancUid","ANCRMNCAHAntenatalCareRegistryANC.ancUid","","","",0,1,"","","","string {[]} {[]}
","Unique Identifier for ANC record","Unique Identifier for ANC record","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#eKyHEXO8dbK
",,,,"ANCRMNCAHAntenatalCareRegistryANC.ancUid",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.clientMrn","ANCRMNCAHAntenatalCareRegistryANC.clientMrn","","","",1,1,"","","","string {[]} {[]}
","ANC ET MRN","ANC ET MRN","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#OYuDdqr2MvX
",,,,"ANCRMNCAHAntenatalCareRegistryANC.clientMrn",1,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.grandfatherSName","ANCRMNCAHAntenatalCareRegistryANC.grandfatherSName","","","",1,1,"","","","string {[]} {[]}
","Grandfather's Name (in the case of other countries, Family name or last name of the patient of case.)","Grandfather's Name (in the case of other countries, Family name or last name of the patient of case.)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ENRjVGxVL6l
",,,,"ANCRMNCAHAntenatalCareRegistryANC.grandfatherSName",1,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.firstName","ANCRMNCAHAntenatalCareRegistryANC.firstName","","","",1,1,"","","","string {[]} {[]}
","First Name (in other countries, this may be Given Name)","First Name (in other countries, this may be Given Name)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#sB1IHYu2xQT
",,,,"ANCRMNCAHAntenatalCareRegistryANC.firstName",1,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ancAgeDateOfBirth","ANCRMNCAHAntenatalCareRegistryANC.ancAgeDateOfBirth","","","",0,1,"","","","Age {[]} {[]}
","Age/Date of birth","Age/Date of birth","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#Fgf497oYvSC
",,,,"ANCRMNCAHAntenatalCareRegistryANC.ancAgeDateOfBirth",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ageYears","ANCRMNCAHAntenatalCareRegistryANC.ageYears","","","",0,1,"","","","unsignedInt {[]} {[]}
","Age in years","Age in years","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#B6TnnFMgmCk
",,,,"ANCRMNCAHAntenatalCareRegistryANC.ageYears",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ancFaydaNationalAliasNumber","ANCRMNCAHAntenatalCareRegistryANC.ancFaydaNationalAliasNumber","","","",0,1,"","","","string {[]} {[]}
","Fayda National Alias Number","Fayda National Alias Number","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#Amopa1NFvJy
",,,,"ANCRMNCAHAntenatalCareRegistryANC.ancFaydaNationalAliasNumber",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.mobileNumber","ANCRMNCAHAntenatalCareRegistryANC.mobileNumber","","","",0,1,"","","","string {[]} {[]}
","Client's mobile phone number","Client's mobile phone number","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ciCR6BBvIT4
",,,,"ANCRMNCAHAntenatalCareRegistryANC.mobileNumber",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.ancB6Occupation","ANCRMNCAHAntenatalCareRegistryANC.ancB6Occupation","","","",0,1,"","","","code {[]} {[]}
","ANC.B6. Occupation","ANC.B6. Occupation","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/OccupationVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#pmhJhfpSkvR
",,,,"ANCRMNCAHAntenatalCareRegistryANC.ancB6Occupation",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.educationLevel","ANCRMNCAHAntenatalCareRegistryANC.educationLevel","","","",0,1,"","","","code {[]} {[]}
","Education level
","Education level","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B6.EducationLevelVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#rLeZyocx3Zg
",,,,"ANCRMNCAHAntenatalCareRegistryANC.educationLevel",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.specifyOtherEducationLevel","ANCRMNCAHAntenatalCareRegistryANC.specifyOtherEducationLevel","","","",0,1,"","","","string {[]} {[]}
","Specify other education level","Specify other education level","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#oZTIMpuQN3Z
",,,,"ANCRMNCAHAntenatalCareRegistryANC.specifyOtherEducationLevel",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.maritalStatus","ANCRMNCAHAntenatalCareRegistryANC.maritalStatus","","","",0,1,"","","","code {[]} {[]}
","Marital Status","Marital Status","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/MaritalStatusVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#wW9OmWfCBnx
",,,,"ANCRMNCAHAntenatalCareRegistryANC.maritalStatus",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.addressDistrict","ANCRMNCAHAntenatalCareRegistryANC.addressDistrict","","","",0,1,"","","","string {[]} {[]}
","District of current address of the patient or case.","District of current address of the patient or case.","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#A6Hb0Kvg4vb
",,,,"ANCRMNCAHAntenatalCareRegistryANC.addressDistrict",0,1,"",""
"ANCRMNCAHAntenatalCareRegistryANC.addressParish","ANCRMNCAHAntenatalCareRegistryANC.addressParish","","","",0,1,"","","","string {[]} {[]}
","Kebele of current address of the patient","Kebele of current address of the patient","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#fzCzJ1yJaoR
",,,,"ANCRMNCAHAntenatalCareRegistryANC.addressParish",0,1,"",""
