"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ANCRegistry","ANCRegistry","","","",0,*,"","","","null {[]} {[]}
","ANC - RMNCAH - Antenatal care registry (ANC)","Mother program","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ANCRegistry.ancUid","ANCRegistry.ancUid","","","",0,1,"","","","string {[]} {[]}
","Unique Identifier for ANC record","Unique Identifier for ANC record","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#eKyHEXO8dbK
",,,,"ANCRegistry.ancUid",0,1,"",""
"ANCRegistry.ancEtMrn","ANCRegistry.ancEtMrn","","","",1,1,"","","","string {[]} {[]}
","Client MRN","Client MRN","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#OYuDdqr2MvX
",,,,"ANCRegistry.ancEtMrn",1,1,"",""
"ANCRegistry.grandfathersName","ANCRegistry.grandfathersName","","","",1,1,"","","","string {[]} {[]}
","Grandfather's Name (in the case of other countries, Family name or last name of the patient of case.)","Grandfather's Name (in the case of other countries, Family name or last name of the patient of case.)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ENRjVGxVL6l
",,,,"ANCRegistry.grandfathersName",1,1,"",""
"ANCRegistry.firstName","ANCRegistry.firstName","","","",1,1,"","","","string {[]} {[]}
","First Name (in other countries, this may be Given Name)","First Name (in other countries, this may be Given Name)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#sB1IHYu2xQT
",,,,"ANCRegistry.firstName",1,1,"",""
"ANCRegistry.ageDateOfBirth","ANCRegistry.ageDateOfBirth","","","",0,1,"","","","Age {[]} {[]}
","Age/Date of birth","Age/Date of birth","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#Fgf497oYvSC
",,,,"ANCRegistry.ageDateOfBirth",0,1,"",""
"ANCRegistry.ageYears","ANCRegistry.ageYears","","","",0,1,"","","","unsignedInt {[]} {[]}
","Age in years","Age in years","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#B6TnnFMgmCk
",,,,"ANCRegistry.ageYears",0,1,"",""
"ANCRegistry.faydaNationalAliasNumber","ANCRegistry.faydaNationalAliasNumber","","","",0,1,"","","","string {[]} {[]}
","Fayda National Alias Number (FAN/FCN)","Fayda National Alias Number (FAN/FCN)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#Amopa1NFvJy
",,,,"ANCRegistry.faydaNationalAliasNumber",0,1,"",""
"ANCRegistry.mobileNumber","ANCRegistry.mobileNumber","","","",0,1,"","","","string {[]} {[]}
","Client's mobile phone number","Client's mobile phone number","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#ciCR6BBvIT4
",,,,"ANCRegistry.mobileNumber",0,1,"",""
"ANCRegistry.occupation","ANCRegistry.occupation","","","",0,1,"","","","code {[]} {[]}
","ANC.B6. Occupation","ANC.B6. Occupation","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/OccupationVS","https://hispethiopia.org/enable/CodeSystem/dhis2-tracked-entity-attributes-cs#pmhJhfpSkvR
",,,,"ANCRegistry.occupation",0,1,"",""
