"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"LaboratoryTestsAndImaging","LaboratoryTestsAndImaging","","","",0,*,"","","","null {[]} {[]}
","Laboratory Tests and Imaging ","Information regarding various laboratory tests and  imaging conducted for diagnostic and curative services the current pregnancy ","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"LaboratoryTestsAndImaging.randomBloodSugarResult","LaboratoryTestsAndImaging.randomBloodSugarResult","","","",0,1,"","","","decimal {[]} {[]}
","ANC - ANC.B9. Random blood sugar result","ANC - ANC.B9. Random blood sugar result","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#wi3jkKJNjr7
",,,,"LaboratoryTestsAndImaging.randomBloodSugarResult",0,1,"",""
"LaboratoryTestsAndImaging.bloodHaemoglobinTestDate","LaboratoryTestsAndImaging.bloodHaemoglobinTestDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B9.  Blood haemoglobin test date","ANC - ANC.B9.  Blood haemoglobin test date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#S3bsJ9ogxeN
",,,,"LaboratoryTestsAndImaging.bloodHaemoglobinTestDate",0,1,"",""
"LaboratoryTestsAndImaging.bloodGroup","LaboratoryTestsAndImaging.bloodGroup","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B9.  Blood group","ANC - ANC.B9.  Blood group","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANC.B9.BloodTypeVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#eddQQbyYaEv
",,,,"LaboratoryTestsAndImaging.bloodGroup",0,1,"",""
"LaboratoryTestsAndImaging.bloodScreeningTestDate","LaboratoryTestsAndImaging.bloodScreeningTestDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B9.  Blood screening test date","ANC - ANC.B9.  Blood screening test date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Dp1hN6EwLnh
",,,,"LaboratoryTestsAndImaging.bloodScreeningTestDate",0,1,"",""
"LaboratoryTestsAndImaging.hepatitisBTestDate","LaboratoryTestsAndImaging.hepatitisBTestDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B9.  Hepatitis B test date","ANC - ANC.B9.  Hepatitis B test date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#rEAO5q6BnSJ
",,,,"LaboratoryTestsAndImaging.hepatitisBTestDate",0,1,"",""
"LaboratoryTestsAndImaging.hepatitisBTestResult","LaboratoryTestsAndImaging.hepatitisBTestResult","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B9.  Hepatitis B test result","ANC - ANC.B9.  Hepatitis B test result","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/PositiveNegativeUnknownVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vDkIpVMAYPU
",,,,"LaboratoryTestsAndImaging.hepatitisBTestResult",0,1,"",""
"LaboratoryTestsAndImaging.ancEmtctTestDate","LaboratoryTestsAndImaging.ancEmtctTestDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B9. eMTCT test date","ANC - ANC.B9. eMTCT test date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YREFGI3SapQ
",,,,"LaboratoryTestsAndImaging.ancEmtctTestDate",0,1,"",""
"LaboratoryTestsAndImaging.emtctCode","LaboratoryTestsAndImaging.emtctCode","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B9.  eMTCT HIV test result","ANC - ANC.B9.  eMTCT HIV test result","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/ANCLabEMTCTCodesVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#zo8VyJRKcmi
",,,,"LaboratoryTestsAndImaging.emtctCode",0,1,"",""
"LaboratoryTestsAndImaging.tbScreeningIncompleteSymptomsOnly","LaboratoryTestsAndImaging.tbScreeningIncompleteSymptomsOnly","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B9.  TB screening incomplete (symptoms only)","ANC - ANC.B9.  TB screening incomplete (symptoms only)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#liA7cL3lyMp
",,,,"LaboratoryTestsAndImaging.tbScreeningIncompleteSymptomsOnly",0,1,"",""
"LaboratoryTestsAndImaging.otherTestSDate","LaboratoryTestsAndImaging.otherTestSDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B9.  Other test(s) date","ANC - ANC.B9.  Other test(s) date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#xXuuXz5xfh6
",,,,"LaboratoryTestsAndImaging.otherTestSDate",0,1,"",""
