"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Postpartum","Postpartum","","","",0,*,"","","","null {[]} {[]}
","Postpartum","Postpartum","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Postpartum.dateOfPostpartumCare","Postpartum.dateOfPostpartumCare","","","",0,1,"","","","date {[]} {[]}
","ANC - OUT_POST - Date of postpartum care ","ANC - OUT_POST - Date of postpartum care","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Vyok96daapr
",,,,"Postpartum.dateOfPostpartumCare",0,1,"",""
"Postpartum.bloodPressure","Postpartum.bloodPressure","","","",0,1,"","","","string {[]} {[]}
","ANC - OUT_POST - Blood pressure","ANC - OUT_POST - Blood pressure","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#iySWXP9NB26
",,,,"Postpartum.bloodPressure",0,1,"",""
"Postpartum.temperature","Postpartum.temperature","","","",0,1,"","","","decimal {[]} {[]}
","ANC - OUT_POST - Temperature","ANC - OUT_POST - Temperature","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#jBAsZaO4oEt
",,,,"Postpartum.temperature",0,1,"",""
"Postpartum.pulseRate","Postpartum.pulseRate","","","",0,1,"","","","decimal {[]} {[]}
","ANC - OUT_POST - Pulse Rate","ANC - OUT_POST - Pulse Rate","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#YSVwVatx6JR
",,,,"Postpartum.pulseRate",0,1,"",""
"Postpartum.pph","Postpartum.pph","","","",0,1,"","","","decimal {[]} {[]}
","ANC - OUT_POST -  PPH","ANC - OUT_POST -  PPH","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#u4E2vVGtxc5
",,,,"Postpartum.pph",0,1,"",""
"Postpartum.dribblingLeakingUrine","Postpartum.dribblingLeakingUrine","","","",0,1,"","","","boolean {[]} {[]}
","ANC - OUT_POST - Dribbling/leaking urine ","ANC - OUT_POST - Dribbling/leaking urine","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Q2iOrrIs8RO
",,,,"Postpartum.dribblingLeakingUrine",0,1,"",""
"Postpartum.anemia","Postpartum.anemia","","","",0,1,"","","","boolean {[]} {[]}
","ANC - OUT_POST - Anemia","ANC - OUT_POST - Anemia","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#dNdQy42gyNN
",,,,"Postpartum.anemia",0,1,"",""
"Postpartum.vaginalDischargeAfter4WeeksOfDelivery","Postpartum.vaginalDischargeAfter4WeeksOfDelivery","","","",0,1,"","","","boolean {[]} {[]}
","ANC - OUT_POST - Vaginal discharge after 4 weeks of delivery","ANC - OUT_POST - Vaginal discharge after 4 weeks of delivery","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#ONFttMEHeed
",,,,"Postpartum.vaginalDischargeAfter4WeeksOfDelivery",0,1,"",""
"Postpartum.pelvicExam","Postpartum.pelvicExam","","","",0,1,"","","","boolean {[]} {[]}
","ANC - OUT_POST - Pelvic exam ","ANC - OUT_POST - Pelvic exam","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#wVsbNnQVjuX
",,,,"Postpartum.pelvicExam",0,1,"",""
"Postpartum.breastExam","Postpartum.breastExam","","","",0,1,"","","","boolean {[]} {[]}
","ANC - OUT_POST - Breast exam ","ANC - OUT_POST - Breast exam","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#xqC5R16ID4N
",,,,"Postpartum.breastExam",0,1,"",""
