"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"PromotionAndTreatment","PromotionAndTreatment","","","",0,*,"","","","null {[]} {[]}
","Promotion and Treatment ","Data elements for the counselling and treatment task of the workflow							","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PromotionAndTreatment.counsellingConductedOnBirthPreparednessAndCo","PromotionAndTreatment.counsellingConductedOnBirthPreparednessAndCo","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on birth preparedness and complications readiness","ANC - ANC.B10. Counselling conducted on birth preparedness and complications readiness","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#qlR1FedtJRq
",,,,"PromotionAndTreatment.counsellingConductedOnBirthPreparednessAndCo",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnBreastfeeding","PromotionAndTreatment.counsellingConductedOnBreastfeeding","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on breastfeeding","ANC - ANC.B10. Counselling conducted on breastfeeding","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#T2bfkalL2LC
",,,,"PromotionAndTreatment.counsellingConductedOnBreastfeeding",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnHivRisk","PromotionAndTreatment.counsellingConductedOnHivRisk","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on HIV risk","ANC - ANC.B10. Counselling conducted on HIV risk","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#jRo4KlnCKeX
",,,,"PromotionAndTreatment.counsellingConductedOnHivRisk",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnRhFactorNegative","PromotionAndTreatment.counsellingConductedOnRhFactorNegative","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on Rh factor negative","ANC - ANC.B10. Counselling conducted on Rh factor negative","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#l066A1HPqRU
",,,,"PromotionAndTreatment.counsellingConductedOnRhFactorNegative",0,1,"",""
"PromotionAndTreatment.counsellingConductedOnSeekingCareWhenDanger","PromotionAndTreatment.counsellingConductedOnSeekingCareWhenDanger","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling conducted on seeking care when danger signs occur","ANC - ANC.B10. Counselling conducted on seeking care when danger signs occur","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#B2vmUDbtn9u
",,,,"PromotionAndTreatment.counsellingConductedOnSeekingCareWhenDanger",0,1,"",""
"PromotionAndTreatment.counsellingOnAncContactScheduleConducted","PromotionAndTreatment.counsellingOnAncContactScheduleConducted","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on ANC contact schedule conducted","ANC - ANC.B10. Counselling on ANC contact schedule conducted","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#QZ00NKZNNHf
",,,,"PromotionAndTreatment.counsellingOnAncContactScheduleConducted",0,1,"",""
"PromotionAndTreatment.counsellingOnPostpartumFamilyPlanningConducte","PromotionAndTreatment.counsellingOnPostpartumFamilyPlanningConducte","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B10. Counselling on postpartum family planning conducted","ANC - ANC.B10. Counselling on postpartum family planning conducted","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#vI7Bj0uD9rO
",,,,"PromotionAndTreatment.counsellingOnPostpartumFamilyPlanningConducte",0,1,"",""
"PromotionAndTreatment.hepatitisB1ImmunizationDate","PromotionAndTreatment.hepatitisB1ImmunizationDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10. Hepatitis B-1 immunization Date","ANC - ANC.B10. Hepatitis B-1 immunization Date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#hGRDCZ9eyEK
",,,,"PromotionAndTreatment.hepatitisB1ImmunizationDate",0,1,"",""
"PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationDate","PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationDate","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10. Tetanus-Diptheria (TD) 1 immunization Date","ANC - ANC.B10. Tetanus-Diptheria (TD) 1 immunization Date","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#fQcLrBqBS40
",,,,"PromotionAndTreatment.tetanusDiptheriaTd1ImmunizationDate",0,1,"",""
"PromotionAndTreatment.dateIptpSpDoseWasProvided","PromotionAndTreatment.dateIptpSpDoseWasProvided","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B10. Date IPTp-SP dose was provided","ANC - ANC.B10. Date IPTp-SP dose was provided","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#mkH2mlYqWqB
",,,,"PromotionAndTreatment.dateIptpSpDoseWasProvided",0,1,"",""
