"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"WomanSProfileAndHistory","WomanSProfileAndHistory","","","",0,*,"","","","null {[]} {[]}
","Woman's Profile and History","Woman's Profile and History","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"WomanSProfileAndHistory.alcohol","WomanSProfileAndHistory.alcohol","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Alcohol","ANC - ANC.B6. Alcohol","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#w1XaGkyql1u
",,,,"WomanSProfileAndHistory.alcohol",0,1,"",""
"WomanSProfileAndHistory.historyEarlyNeonatalDeathBtwn07daysofbirth","WomanSProfileAndHistory.historyEarlyNeonatalDeathBtwn07daysofbirth","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. History of Early Neonatal Death (between 0 and 7 days of birth)","ANC - ANC.B6. History of Early Neonatal Death (between 0 and 7 days of birth)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#xSKiFlohuQd
",,,,"WomanSProfileAndHistory.historyEarlyNeonatalDeathBtwn07daysofbirth",0,1,"",""
"WomanSProfileAndHistory.diabetes","WomanSProfileAndHistory.diabetes","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Diabetes","ANC - ANC.B6. Diabetes","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#cCp43HMY3br
",,,,"WomanSProfileAndHistory.diabetes",0,1,"",""
"WomanSProfileAndHistory.eclampsiaConvulsions","WomanSProfileAndHistory.eclampsiaConvulsions","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Eclampsia/Convulsions","ANC - ANC.B6. Eclampsia/Convulsions","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#oeojmvdEY9S
",,,,"WomanSProfileAndHistory.eclampsiaConvulsions",0,1,"",""
"WomanSProfileAndHistory.expectedDateOfDeliveryEdd","WomanSProfileAndHistory.expectedDateOfDeliveryEdd","","","",0,1,"","","","date {[]} {[]}
","ANC - ANC.B6. Expected date of delivery (EDD)","ANC - ANC.B6. Expected date of delivery (EDD)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#Ru01omP2WCQ
",,,,"WomanSProfileAndHistory.expectedDateOfDeliveryEdd",0,1,"",""
"WomanSProfileAndHistory.ancGestationalAge","WomanSProfileAndHistory.ancGestationalAge","","","",1,1,"","","","positiveInt {[]} {[]}
","ANC - ANC.B6. Gestational age","ANC - ANC.B6. Gestational age","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#w9p8MQDRyMr
",,,,"WomanSProfileAndHistory.ancGestationalAge",1,1,"",""
"WomanSProfileAndHistory.historyOfBigBabyDelivery4Kg","WomanSProfileAndHistory.historyOfBigBabyDelivery4Kg","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC History of big baby delivery ( > 4 kg)","ANC - ANC History of big baby delivery ( > 4 kg)","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#XhGh2s0tPTr
",,,,"WomanSProfileAndHistory.historyOfBigBabyDelivery4Kg",0,1,"",""
"WomanSProfileAndHistory.hivStatusProfile","WomanSProfileAndHistory.hivStatusProfile","","","",0,1,"","","","code {[]} {[]}
","ANC - ANC.B6. HIV status profile","ANC - ANC.B6. HIV status profile","","","","","","","","","",,"required","","https://hispethiopia.org/enable/ValueSet/HIVStatusProfileVS","https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#lYE2KzWQGkW
",,,,"WomanSProfileAndHistory.hivStatusProfile",0,1,"",""
"WomanSProfileAndHistory.myomectomy","WomanSProfileAndHistory.myomectomy","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC Myomectomy","ANC - ANC Myomectomy","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#iboAokLxCIh
",,,,"WomanSProfileAndHistory.myomectomy",0,1,"",""
"WomanSProfileAndHistory.hypertension","WomanSProfileAndHistory.hypertension","","","",0,1,"","","","boolean {[]} {[]}
","ANC - ANC.B6. Hypertension","ANC - ANC.B6. Hypertension","","","","","","","","","",,,,,"https://hispethiopia.org/enable/CodeSystem/dhis2-data-elements-cs#QqTuhQQgpcp
",,,,"WomanSProfileAndHistory.hypertension",0,1,"",""
